country,index,name,n_turbines,power_mw,status,year,dist_coast,area_sqkm,lat,lon,2025,2030,2035,2040
Netherlands,359,Hollandse Kust E,,,Planned,,25149.6413133,189.454846499,52.89933032574895,4.122081504018054,0.0,0.0,2622.222222222222,2622.222222222222
Netherlands,360,HKN Kavel V,,,Approved,,18675.2775237,126.419699026,52.70965115686306,4.259816542877716,0.0,0.0,2622.222222222222,2622.222222222222
United Kingdom,362,Inch Cape Met Mast,,,Approved,,22570.4112111,0.70046929987,56.44028873227783,-2.24078705821732,0.0,0.0,0.0,0.0
United Kingdom,363,Beatrice OFTO,,,Production,,17623.175216,0.0627921513,58.25345860319815,-2.8882021111208576,0.0,0.0,0.0,0.0
United Kingdom,364,Robin Rigg OFTO,,,Production,,11704.8712869,0.08586727497,54.74466911402991,-3.6880567374494277,0.0,0.0,0.0,0.0
United Kingdom,367,Dogger Bank - Teesside A,,,Approved,,195786.119414,560.556508471,55.03989335932558,2.822688851974747,0.0,0.0,0.0,0.0
United Kingdom,368,Neart na Gaoithe OFTO,,,Construction,,20179.4171542,0.03530639255,56.25883816158041,-2.246558882372873,0.0,0.0,0.0,0.0
United Kingdom,369,Seagreen Phase 1 OFTO,,,Construction,,41169.572318,0.7853317011,56.584904656948495,-1.7589489625182746,0.0,0.0,0.0,0.0
United Kingdom,371,South Pembrokeshire Demonstration Zone,,,Planned,,17560.9114776,89.4676420035,51.42323549945713,-5.095273913992543,0.0,0.0,0.0,0.0
United Kingdom,372,EMEC Fall of Wareness,,,Production,,0.0,9.10584947683,59.14527046318878,-2.813605646762028,0.0,0.0,0.0,0.0
United Kingdom,373,NE6,,,Planned,2020,33343.9137577,698.633310751,58.05822548399291,-1.6563436393648066,0.0,0.0,0.0,0.0
United Kingdom,374,NE7,,,Planned,2020,75714.7035138,683.988484632,58.16203799385349,-0.6226070684122947,0.0,0.0,0.0,0.0
United Kingdom,375,Seagreen Phase 1A OFTO,,,Planned,,33.4731665387,120.470940332,56.4388260823923,-2.091242509956015,0.0,0.0,0.0,0.0
United Kingdom,376,Inch Cape Met Mast,1.0,,Production,,22639.7781937,0.70064176384,56.44039130191995,-2.2392179316608622,0.0,0.0,0.0,0.0
United Kingdom,377,EMEC Scapa Flow,,,Production,,293.247102453,1.39186908683,58.8930747814764,-2.948400171569163,0.0,0.0,0.0,0.0
United Kingdom,378,West Anglesey Demonstration Zone,,,Planned,,523.254598461,35.0435917769,53.29329565350308,-4.727690698427851,0.0,0.0,0.0,0.0
United Kingdom,379,Bardsey Sound,,,Approved,,430.101413199,3.33633845958,52.778451173172755,-4.7730829303284805,0.0,0.0,0.0,0.0
United Kingdom,380,NE1,,,Planned,2021,22486.0880719,751.092432048,60.292889113572485,-0.19432716983732473,0.0,0.0,0.0,0.0
United Kingdom,381,NE3,,,Planned,2020,36890.7489994,264.50701579,58.512659769828495,-2.1426514772442267,0.0,0.0,0.0,0.0
United Kingdom,382,W1,,,Planned,2020,0.0,753.746085192,56.01413752902927,-6.673811938798215,0.0,0.0,0.0,0.0
United Kingdom,383,NE4,,,Planned,2021,22289.7525083,441.678855664,58.20029663180827,-2.492461765134918,0.0,0.0,0.0,0.0
United Kingdom,384,NE2,,,Planned,2020,11200.9241156,345.204220552,58.85868267879245,-2.2643715729762315,0.0,0.0,0.0,0.0
United Kingdom,385,N2,,,Planned,2020,25449.6393155,561.368731479,58.8495445984767,-5.549654371929484,0.0,0.0,0.0,0.0
United Kingdom,386,N4,,,Planned,2020,2316.10528795,200.156676074,58.403168692463346,-6.779371401862222,0.0,0.0,0.0,0.0
United Kingdom,387,NE8,,,Planned,2020,74888.6926954,338.514189154,58.411013728584294,-1.2337484576878899,0.0,0.0,0.0,0.0
United Kingdom,388,N3,,,Planned,2020,9457.33354702,1106.35394387,58.891472569076555,-6.4962909710895005,0.0,0.0,0.0,0.0
United Kingdom,389,N1,,,Planned,2020,3171.9435831,1162.42676963,58.92511615862058,-4.173263094758719,0.0,0.0,0.0,0.0
United Kingdom,390,E3,,,Planned,2020,18800.8499656,474.34228332,56.99785075925767,-1.4862728344240415,0.0,0.0,0.0,0.0
United Kingdom,391,E2,,,Planned,2020,59706.165824,1291.42931986,57.343707225653304,-0.08296031147148539,0.0,0.0,0.0,0.0
United Kingdom,392,E1,,,Planned,2020,56455.6353152,3743.86634134,56.715010835428174,-0.4215520511046571,0.0,0.0,0.0,0.0
United Kingdom,393,Mingary,,,Planned,,24.7719286515,0.72121921959,56.69023774206814,-6.058088916346817,0.0,0.0,0.0,0.0
Sweden,129,Heimdall,,2400.0,Planned,,29116.8260381,,58.66999999836806,10.550000000000002,0.0,0.0,2033.8983050847457,2033.8983050847457
Sweden,132,Kattegatt Syd,,1200.0,Planned,,22000.3367048,,56.79999999815929,11.999999999999998,0.0,0.0,1016.9491525423729,1016.9491525423729
Sweden,134,Mareld,,2300.0,Planned,,41519.3369902,,58.159999998315584,10.579999999999997,0.0,0.0,0.0,1949.1525423728813
